Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,Publisher,ISSN,ISBN,CODEN,Abbreviated Source Title,Document Type,Publication Stage,Open Access,Source,EID
"Fohanno B., Pires B., Ionescu C., Ladka E., Perek M., Malheiro B., Ribeiro C., Justo J., F. Silva M., Ferreira P., Guedes P.","57392744800;57393656000;57392901600;57393200500;57393503100;6505813794;7201736465;56428772200;57393501500;55543452900;56027782200;","Crowd Orchestration An EPS@ISEP 2021 Project",2021,"ACM International Conference Proceeding Series",,,,"411","416",,,"10.1145/3486011.3486481","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122095659&doi=10.1145%2f3486011.3486481&partnerID=40&md5=f7c656b225106b01e4a84f65a0507aec","The European Project Semester (EPS) is a multicultural and multidisciplinary project-based learning semester offered by a network of providers, including the Instituto Superior de Engenharia do Porto (ISEP). In the spring of 2020/2021, five EPS@ISEP students from different areas of studies and countries - Portugal, Romania, Poland and France - teamed up. Given the disorganization and overcrowding affecting the experience of attendees at large events, the team decided to create a Crowd Orchestration solution for large outdoor festivals. To this end, the team designed ""ScanGo""with real time alerts about the number of people in predefined areas, suggestion of alternative activities within the event or indication of the best route to go from one stage to the another. This way, ScanGo also intends to minimize the effects of the undergoing pandemic, allowing people to safely experience open air festivals. This paper reports the different stages of the teamwork, encompassing the preliminary studies and the design of ScanGo, followed by the development and test of a proof of concept prototype. © 2021 Owner/Author.","Association for Computing Machinery",,9781450390668,,"ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85122095659
"Viegas C., Lima N., Pozzo M.I.","56014304600;57059982800;57193056598;","Engineering Education: New Challenges, New Approaches",2021,"ACM International Conference Proceeding Series",,,,"357","360",,,"10.1145/3486011.3486473","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122093775&doi=10.1145%2f3486011.3486473&partnerID=40&md5=c535f7d595f0a4f63d18599d9ff7c50f","Teachers must aid students develop 21st century skills providing them with rich learning experiences, as related as possible to their future professional practices. The sudden transition to an e-learning environment due to the COVID19 pandemic is the focus of the works presented. A good diversification of teaching approaches such as PBL, teamwork, gamification or the integration of complementary resources is tackled. Teachers' concern about students' perception, and development of professional competences is present in all works. Some works not only describe experiences that were useful to students learning but also in developing solutions, engendering a bridge between academia and the professional world. © 2021 Owner/Author.","Association for Computing Machinery",,9781450390668,,"ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85122093775
"Vandoorne-Feys A., Nicoara G.-G., Carasel I.-S., Karpiak M., Kocheski N., Malheiro B., Ribeiro C., Justo J., F. Silva M., Ferreira P., Guedes P.","57392596700;57392902600;57393356000;57392596800;57392902700;6505813794;7201736465;56428772200;57393501500;55543452900;56027782200;","Reconfigurable and Ergonomic Smart Desk An EPS@ISEP 2021 Project",2021,"ACM International Conference Proceeding Series",,,,"464","470",,,"10.1145/3486011.3486566","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122087361&doi=10.1145%2f3486011.3486566&partnerID=40&md5=e5bcf670648882dd02d1eeeaeb417be6","The European Project Semester (EPS) offered by the Instituto Superior de Engenharia do Porto (ISEP) provides engineering, business and product design undergraduates with a project-based learning experience in a multicultural and multidisciplinary teamwork environment. This paper reports the research and development of a reconfigurable and ergonomic three-level desk, for people who live in small spaces, by a multicultural and multidisciplinary team of five students. The main objective of the project was to integrate ethics- and sustainability-driven practices in the design, simulation and test an ergonomic, transformable desk. The FREE desk proposal aims to create a comfortable and dynamic working environment for people while providing a transformable space for different daily activities. This goal was pursued by designing a reconfigurable product, a smart desk that offers the user three levels of adjustability: bench level, sitting desk level, and standing desk level. The desk includes a folding light-sensor lamp into the table top and an integrated battery, in order to create a proper working space. The selected materials have a low environmental impact. The solution comes with different options regarding the table top lifting mechanism. This paper describes the state-of-the-art research, the ethics, sustainability, and marketing analyses, the design and simulation of the FREE desk as well as the obtained results. © 2021 Owner/Author.","Association for Computing Machinery",,9781450390668,,"ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85122087361
"Iniesto F., Sargent J., Rienties B., Llorens A., Adam A., Herodotou C., Ferguson R., Muccini H.","56521566900;57206183124;26656113500;54927811100;56767810800;37111011800;36843894700;6603279141;","When industry meets Education 4.0: What do Computer Science companies need from Higher Education?",2021,"ACM International Conference Proceeding Series",,,,"367","372",,,"10.1145/3486011.3486475","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122075836&doi=10.1145%2f3486011.3486475&partnerID=40&md5=058157870303f4ca49825dcaf4b37098","Education 4.0 emphasises the development of skills and competences necessary in a modern workplace. In this paper, we explored what these Education 4.0 skills look like through exploring the opinions of industry professionals in the Computer Science (CS) sector. A series of focus groups involving CS companies from across Europe were used to identify the skills required and the current gaps in training for CS graduates. The two main gaps identified by companies were graduates' lack of soft skills and challenges to applying theoretical knowledge to different practical contexts. Strengths identified included good knowledge of programming and interacting with clients and customers on a technical level. Amongst the suggested ways for addressing these gaps were a close collaboration between industry and academia through company placements and opportunities for project-based learning in higher education. © 2021 ACM.","Association for Computing Machinery",,9781450390668,,"ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","All Open Access, Green",Scopus,2-s2.0-85122075836
"Mendes A., Tatuc E., Joos F., Wyka J., Petrevski K., Malheiro B., Ribeiro C., Justo J., F. Silva M., Ferreira P., Guedes P.","55848458400;57393352300;57393501400;57393046000;57392742600;6505813794;7201736465;56428772200;57393501500;55543452900;56027782200;","Sustainable Food Production through Vermicomposting An EPS@ISEP 2021 Project",2021,"ACM International Conference Proceeding Series",,,,"553","559",,,"10.1145/3486011.3486515","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122058265&doi=10.1145%2f3486011.3486515&partnerID=40&md5=6a7b641cc0ebf50ab11fa5a9af5c9722","The European Project Semester (EPS) is a multicultural, multidisciplinary teamwork and project-based learning framework offered to engineering, business and product design undergraduates by a network of European Higher Education institutions, including the Instituto Superior de Engenharia do Porto (ISEP). In the spring of 2021, five EPS@ISEP students from distinct countries and fields of study joined efforts to address the smart and sustainable food production issue. This paper reports their research and development of Wormify, a solution based on vermicomposting. The main goal of the project was to design, simulate, test and build a prototype following ethical and sustainable practices. Wormify aims to minimize the problem of feeding the growing global population, and to prevent food waste from going to landfills. These objectives were pursued by designing a smart modular system for urban rooftops or small balconies. Several modules can be connected to form a place for residents to meet and socialize. The smart system allows monitoring through an app/website. This paper presents the background studies, the concept and design, the development and final results. © 2021 Owner/Author.","Association for Computing Machinery",,9781450390668,,"ACM Int. Conf. Proc. Ser.",Conference Paper,"Final","",Scopus,2-s2.0-85122058265
"Nikolic D., Castronovo F., Leicht R.","57197201631;55924007300;33667717200;","Teaching BIM as a collaborative information management process through a continuous improvement assessment lens: a case study",2021,"Engineering, Construction and Architectural Management","28","8",,"2248","2269",,1,"10.1108/ECAM-11-2020-1000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85108200731&doi=10.1108%2fECAM-11-2020-1000&partnerID=40&md5=48520be1840be41135d6bdf0013d090e","Purpose: This study explores a pedagogical approach to teaching students a collaborative information delivery process in the context of BIM. The objectives were to understand how students approach this complex, open-ended problem of planning their collaborative process and then identify strategies for improving their process through a plan-do-check-act cycle and reflecting on the applicability of industry standards. Design/methodology/approach: The authors present a longitudinal case study based on qualitative data from the 3 consecutive years of teaching a senior undergraduate course in a construction engineering program. Findings: The findings offer a rich picture of how students approached this collaborative process and emphasize the complex nature of teaching BIM as information management process. The authors present instances of how students made sense of BIM standards through applied experience. The findings also demonstrate the value of an outcome-based approach whereby knowledge is gained through an iterative plan-do-check-act cycle. Here, the BEP and model deliverables served only as vehicles to test and apply a range of skills by making them more explicit. Practical implications: The research contributes to the literature on mechanisms that support students in planning, managing and improving collaborative information strategies in a BIM context. Specifically, the authors illustrate a tension in how to pedagogically deploy industry-oriented process planning methods to establish relevance for students in order to effectively engage in interdisciplinary teams. Originality/value: In this paper, the authors argue that teaching students how to plan, design and enact effective BIM collaboration information delivery is firmly nested within pedagogical management and communication skills. The authors illustrate with examples how students make sense of BIM approaches by making them concrete and meaningful to their own experience. © 2021, Emerald Publishing Limited.","Emerald Group Holdings Ltd.",09699988,,,"Eng. Constr. Archit. Manage.",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85108200731
"Raihanati, Nasbey H.","57205614422;56458880500;","Development of video education using problem-based learning (PBL) to support M-learning on the kinetic gas",2021,"Journal of Physics: Conference Series","2019","1","012061","","",,,"10.1088/1742-6596/2019/1/012061","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119210533&doi=10.1088%2f1742-6596%2f2019%2f1%2f012061&partnerID=40&md5=ec3d0473836765e8fd07b838042ac660","The teaching materials in the form of video education using problem-based learning models (PBL) accessible via smartphones to support mobile learning (M-Learning) is developed. the kinetic theory of gases is chosen after analysing the needs of the students in the development of this teaching material. The Research and Development (R&D) and refers to the ADDIE development model (Analysis-Design-Development-Implementation-Evaluation) are used as the method of research. The learning videos that are applied in the smartphone apps conform to the stages of the problem-based learning model. The sequences are basic concept, problem definition, self-learning, knowledge exchange and evaluation. In the activities of the learning process, the steps carried out which are orienting problems, organizing students to learn, guiding individual / group experiences, develop and presenting work, analysing and evaluating problem-solving processes. The teaching material in the form of videos that has been developed is accessible via smart devices (smartphones) in the hope that they can be a source of learning in the process of mobile learning (M-Learning). The videos produced are validated by material experts, media experts and learning experts. The Materials Expert gave a score of 95.83 out of a maximum score of 100 with a very good interpretation. Media experts gave a score of 83.6 out of a maximum score of 100 with a very good interpretation. The learning expert gave a score of 89.4 out of a maximum score of 100 with very good interpretation. In addition to being validated, the resulting video was tested for the feasibility of its use by teachers and students. The teacher's feasibility test scored 90.5 out of a maximum score of 100 with very good interpretation. The students gave a usability score of 87 out of a maximum score of 100 with very good interpretation. Based on the validation and feasibility tests, it can be said that the videos developed as learning material can be used for classroom learning. © 2021 Institute of Physics Publishing. All rights reserved.","IOP Publishing Ltd",17426588,,,"J. Phys. Conf. Ser.",Conference Paper,"Final","All Open Access, Bronze",Scopus,2-s2.0-85119210533
"Miyamoto K., She J.","56895547500;7102576674;","Project-Based Learning Using Remote-Controlled Plane for Students in Mechatronics Course",2021,"IECON Proceedings (Industrial Electronics Conference)","2021-October",,,"","",,,"10.1109/IECON48115.2021.9589756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85119478846&doi=10.1109%2fIECON48115.2021.9589756&partnerID=40&md5=7ed9a63c79ceb265780797c84b0e6ef2","The Ministry of Education, Culture, Sports, Science and Technology, Japan recommended educational institutions in Japan to carry out educational reforms by building active-learning courses. This paper explains the practice of project-based learning for sophomores in the mechatronics course, Tokyo University of Technology. We designed a project to teach simple principles of aeronautics, plant modeling, and mechatronics. Students are required to assemble radio-controlled planes. It tries to gain the motivation in learning mechatronics and the ability of teamwork and communication. We explained how we designed the project and the practical results. Statistics show that this project stimulated students' curiosity about mechatronics. © 2021 IEEE.","IEEE Computer Society",,9781665435543,IEPRE,"IECON Proc",Conference Paper,"Final","",Scopus,2-s2.0-85119478846
"Hadie S.N.H., Tan V.P.S., Omar N., Nik Mohd Alwi N.A., Lim H.L., Ku Marsilla K.I.","55632424300;54881039000;56335955100;57298560000;36761017300;56047956800;","COVID-19 Disruptions in Health Professional Education: Use of Cognitive Load Theory on Students' Comprehension, Cognitive Load, Engagement, and Motivation",2021,"Frontiers in Medicine","8",,"739238","","",,2,"10.3389/fmed.2021.739238","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117220176&doi=10.3389%2ffmed.2021.739238&partnerID=40&md5=a4a77ead7b6e2e3705454684065e431b","This study explored the impact of online lectures that were developed using principles of cognitive load theory (CLT) and cognitive theory of multimedia learning (CTML) on health profession students' lecture comprehension, cognitive load, cognitive engagement, and intrinsic motivation in learning. A total of 215 first-year undergraduate students in medical, dentistry, and nutrition programs participated in this pre-post quasi experimental study. The students attended a typical face-to-face lecture on Day-1 of the intervention, followed by a CLT-based online lecture 8 weeks thereafter. Their comprehension of the lecture topics was measured through pre- and post-lecture assessments, and their cognitive load, cognitive engagement, and motivation were measured immediately after each lecture session. The analysis revealed that the CLT-based online lectures promoted the students' comprehension of the lecture content (p < 0.001), self-perceived learning (p < 0.001), engagement toward the learning material, and motivation to learn (p = 0.025). It was also effective at reducing the students' intrinsic and extraneous cognitive loads (p < 0.001). Hence, designing online lectures using CLT and CTML principles could be an effective method to promote students' knowledge and comprehension, cognitive engagement, and learning motivation. However, further research is needed to investigate the applicability and impact of CLT-based online lectures in non-health profession disciplines. © Copyright © 2021 Hadie, Tan, Omar, Nik Mohd Alwi, Lim and Ku Marsilla.","Frontiers Media S.A.",2296858X,,,"Front. Med.",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85117220176
"Aroke E.N., Wilbanks B.A., Hicks T., Thurston K.L., McMullan S.P.","56120043800;55601203600;57190252968;57299873500;57192675858;","Mentoring Team Projects for the Doctor of Nursing Practice: Considerations for Nurse Anesthesia Faculty",2021,"AANA Journal","89","5",,"435","442",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117292780&partnerID=40&md5=b4f58e8f8e56a4a05c5eba1fe2fcae1f","The American Association of Colleges of Nursing and the Council on Accreditation of Nurse Anesthesia Educational Programs have specified that Doctor of Nursing Practice (DNP) and Doctor of Nursing Anesthesia Practice students complete a doctorate project as part of the education toward becoming Certified Registered Nurse Anesthetists. As nurse anesthesia programs (NAPs) transition to DNP entry into practice, management of DNP projects has been identified as a major challenge facing nursing faculty. Also, adequate mentorship has been identified as a crucial part of doctorate education. Despite the absence of literature on team mentorship in nursing, many NAPs are opting for DNP team projects and group mentoring. In team DNP projects, the mentors foster professionalism, establish the ground rules for communication, resolve conflict, and provide expert knowledge. Effective implementation of projects can enhance relational learning and teamwork, which are essential for a successful career in healthcare. Additionally, mentoring teams can simultaneously improve the professional growth of junior faculty, reduce the faculty workload, and improve the quality of DNP projects. This article brings attention to best practices for mentoring DNP team projects and also provides an exemplar of successful implementation of DNP team projects in a NAP. © 2021 AANA Publishing Inc.. All rights reserved.","AANA Publishing Inc.",00946354,,ANJOE,"AANA J.",Article,"Final","",Scopus,2-s2.0-85117292780
"Guo P., Saab N., Wu L., Admiraal W.","57209177948;9744614600;57226249886;55499681000;","The Community of Inquiry perspective on students' social presence, cognitive presence, and academic performance in online project-based learning",2021,"Journal of Computer Assisted Learning","37","5",,"1479","1493",,3,"10.1111/jcal.12586","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85110948249&doi=10.1111%2fjcal.12586&partnerID=40&md5=f4d7e88d3d5edcc6ea24049a8da74523","Project-based learning (PjBL) engages students in knowledge acquisition, application, and construction through artefact development. Based on the Community of Inquiry framework, this study characterized college students' social and cognitive presences in online PjBL and examined how presence was related to their academic performance. Twenty-four groups of students participated in a 3-week project via WeChat discussion groups and created a final product. Transcripts of students' online discourse were collected and analysed by a coding scheme. The quality of students' artefacts was evaluated by a grading rubric. Descriptive results showed that the component of affectiveness and the level of exploration accounted for the majority of students' social and cognitive presences, respectively. Stepwise regression analyses revealed that certain components and sub-components of students' social presence, and levels and sub-levels of their cognitive presence were positively associated with their academic performance. Practical implications for teachers and suggestions for further research are provided. © 2021 The Authors. Journal of Computer Assisted Learning published by John Wiley & Sons Ltd.","John Wiley and Sons Inc",02664909,,,"J. Comput. Assisted Learn.",Article,"Final","All Open Access, Hybrid Gold, Green",Scopus,2-s2.0-85110948249
"Aslan A.","57195302647;","Problem- based learning in live online classes: Learning achievement, problem-solving skill, communication skill, and interaction",2021,"Computers and Education","171",,"104237","","",,6,"10.1016/j.compedu.2021.104237","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85106394028&doi=10.1016%2fj.compedu.2021.104237&partnerID=40&md5=6a27507ced7ab14c081201ae42ce5a06","The purpose of the study is to investigate the effect of first aid training in live online classes using the problem-based learning approach on students' learning achievement, problem-solving skills, communication skill, and interaction. The pre-test and post-test quasi-experimental design with a control group was used in the quantitative dimension of the study. The study group was conducted with forty-five university students. While live online classes in the experimental group were carried out via the PBL approach, live online classes in the control group were traditionally carried out via teacher-based methods without any intervention. Zoom application was used in both groups during live online classes. Group work in the experimental group was conducted using breakout rooms. The process of data collection and the experimental procedure of the study was completed in six weeks. Within the scope of the study, courses took three 40 min periods every week. The Learning Achievement Test, the Perceived Problem-solving Skills Scale, the Communication Skills Scale, and the Online Course Interaction Level Determination Scale were used for data collection tools. The results of study show that students who attended live online classes using PBL had higher levels of learning achievement, problem-solving skills and live online class interaction than students who attended live online classes using teacher-based methods. No significant difference between the communication skills of the groups was observed. © 2021 Elsevier Ltd","Elsevier Ltd",03601315,,COMED,"Comput Educ",Article,"Final","",Scopus,2-s2.0-85106394028
